Name,Type,Rarity,Price,Type2,Description,Found1,Found2
Rope of Climbing,Wondrous item,Uncommon,400 gp,,"This 60-foot length of silk rope weighs 3 pounds and can hold up to 3,000 pounds. If you hold one end of the rope and use an action to speak the command word, the rope animates. As a bonus action, you can command the other end to move toward a destination you choose. That end moves 10 feet on your turn when you first command it and 10 feet on each of your turns until reaching its destination, up to its maximum length away, or until you tell it to stop. You can also tell the rope to fasten itself securely to an object or to unfasten itself, to knot or unknot itself, or to coil itself for carrying. If you tell the rope to knot, large knots appear at 1-foot intervals along the rope. While knotted, the rope shortens to a 50-foot length and grants advantage on checks made to climb it. The rope has AC 20 and 20 hit points. It regains 1 hit point every 5 minutes as long as it has at least 1 hit point. If the rope drops to 0 hit points, it is destroyed.",Frozenfar,
Lantern of Revealing,Wondrous item,Uncommon,400 gp,,"While lit, this hooded lantern burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot radius and dim light for an additional 30 feet. Invisible creatures and objects are visible as long as they are in the lantern's bright light. You can use an action to lower the hood, reducing the light to dim light in a 5-foot radius.",D20,D20
Staff of the Python,Weapon (staff),Uncommon,500 gp,"Attunement by a cleric, druid or warlock","Wooden staff with the head carved as the head of a snake. You can use an action to speak this staff's command word and throw the staff on the ground within 10 feet of you. The staff becomes a giant constrictor snake (see the Monster Manual for statistics) under your control and acts on its own initiative count. By using a bonus action to speak the command word again, you return the staff to its normal form in a space formerly occupied by the snake. On your turn, you can mentally command the snake if it is within 60 feet of you and you aren't incapacitated. You decide what action the snake takes and where it moves during its next turn, or you can issue it a general command, such as to attack your enemies or guard a location. If the snake is reduced to 0 hit points, it dies and reverts to its staff form. The staff then shatters and is destroyed. If the snake reverts to staff form before losing all its hit points, it regains all of them.",,
Slippers of Spider Climbing,Equipment (shoes),Uncommon,600 gp,Attunement,"While you wear these light shoes, you can move up, down, and across vertical surfaces and upside down along ceilings, while leaving your hands free. You have a climbing speed equal to your walking speed. However, the slippers don't allow you to move this way on a slippery surface, such as one covered by ice or oil.",,
Medallion of Thoughts,Equipment (necklace),Uncommon,800 gp,Attunement,"Medallion engraved with a network of crossed lines like a dream-catcher and arcane glyphs. The medallion has 3 charges. While wearing it, you can use an action and expend 1 charge to cast the detect thoughts spell (save DC 13) from it. The medallion regains 1d3 expended charges daily at dawn.",D20,D20
Ring of Mind Shielding,Equipment (ring),Uncommon,800 gp,Attunement,"Wooden ring encasing a large prism made of a blue gem. While wearing this ring, you are immune to magic that allows other creatures to read your thoughts, determine whether you are lying, know your alignment, or know your creature type. Creatures can telepathically communicate with you only if you allow it. You can use an action to cause the ring to become invisible until you use another action to make it visible, until you remove the ring, or until you die. If you die while wearing the ring, your soul enters it, unless it already houses a soul. You can remain in the ring or depart for the afterlife. As long as your soul is in the ring, you can telepathically communicate with any creature wearing it. A wearer can't prevent this telepathic communication.",,
Elven Pipeweed,Drug (pipeweed),Rare,2000 gp / 100 g,,"A rare lichen which grows on the trees in northern forests, dried and smoked in a pipe. Produces a numbing as well as minor hallucinogenic effect, usually illegal. Effects – resistance to bludgeoning, piercing, slashing, force, and thunder damage, -2 initiative, weakness to psychic damage; lasts 2 hours. Addiction – upon each dose roll for an addiction saving throw, Wisdom vs DC8+number of doses previously not resisted (max 10) to resist. Upon each long rest, roll for an addiction saving throw, identical to above; success removes 1 DC from the next addiction save, failure results in -2 initiative for day. DC 8-10 – works as expected. -2 to initiative persists 2 more hours beyond end of effects. DC 11-15 – works as expected, but -4 initiative and disadvantage on reflex saves which both last 2 more hours beyond end of effects. DC 16-18 - works as expected, but -6 initiative, disadvantage on reflex saves, and slowed, all three of which both last 2 more hours beyond end of effects.",Found on a frost druid cadaver,
Shield of Missie Protection,Shield,Rare,4400 gp,Attunement,"While holding this shield, you have resistance to damage from ranged weapon attacks. Curse. This shield is cursed. Attuning to it curses you until you are targeted by the remove curse spell or similar magic. Removing the shield fails to end the curse on you. Whenever a ranged weapon attack is made against a target within 10 feet of you, the curse causes you to become the target instead.",,
Ring of Spell Storing,Equipment (ring),Rare,5500 gp,Attunement,"Two-finger ring made of gold bands covered in tiny arcane engravings. This ring stores spells cast into it, holding them until the attuned wearer uses them. Any creature can cast a spell of 1st through 5th level into the ring by touching the ring as the spell is cast. The spell has no effect, other than to be stored in the ring. If the ring can't hold the spell, the spell is expended without effect. The level of the slot used to cast the spell determines how much space it uses. The ring can store up to 5 levels worth of spells at a time. While wearing this ring, you can cast any spell stored in it. The spell uses the slot level, spell save DC, spell attack bonus, and spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. The spell cast from the ring is no longer stored in it, freeing up space.When found, it contains 1d6 - 1 levels of stored spells chosen by the DM.",Jeweler Easthaven,
Potion of Diminution,Potion,Rare,2000 gp,,"When you drink this potion, you gain the ""reduce"" effect of the enlarge/reduce spell for 1d4 hours (no concentration required). The red in the potion's liquid continuously contracts to a tiny bead and then expands to color the clear liquid around it. Shaking the bottle fails to interrupt this process.",,
Potion of Heroism,Potion,Rare,2750 gp,,"For 1 hour after drinking it, you gain 10 temporary hit points that last for 1 hour. For the same duration, you are under the effect of the bless spell (no concentration required). This blue potion bubbles and steams as if boiling.",,
Potion of Gaseous Form,Potion,Rare,2700 gp,,"When you drink this potion, you gain the effect of the gaseous form spell for 1 hour (no concentration required) or until you end the effect as a bonus action. This potion's container seems to hold fog that moves and pours like water.",D20,D20
Potion of Invisibility,Potion,Rare,2750 gp,,"This potion's container looks empty but feels as though it holds liquid. When you drink it, you become invisible for 1 hour. Anything you wear or carry is invisible with you. The effect ends early if you attack or cast a spell.",D20,D20
Oil of Etherealness,Potion,Rare,2700 gp,,"Beads of this cloudy gray oil form on the outside of its container and quickly evaporate. The oil can cover a Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the etherealness spell for 1 hour.",,
Scroll of Protection against Undead,Scroll,rare,3000 gp,,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents undead creatures from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that an undead creature would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",,D20
Scroll of Protection against Constructs,Scroll,Rare,3000 gp,,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents constructs from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that a construct would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",D20,D20
Scroll of Protection,Scroll,Rare,3000 gp,,"Each scroll of protection works against a specific type of creature. Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents creatures of the specified type from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",,
Shield +2,Shield,Rare,5000 gp,,"While holding this shield, you have a bonus to AC determined by the shield's rarity. This bonus is in addition to the shield's normal bonus to AC.",,
Rope of Entanglement,Wondrous item,Rare,4000 gp,,"This rope is 30 feet long and weighs 3 pounds. If you hold one end of the rope and use an action to speak its command word, the other end darts forward to entangle a creature you can see within 20 feet of you, The target must succeed on a DC 15 Dexterity saving throw or become restrained. You can release the creature by using a bonus action to speak a second command word. A target restrained by the rope can use an action to make a DC 15 Strength or Dexterity check (target's choice). On a success, the creature is no longer restrained by the rope. The rope has AC 20 and 20 hit points. It regains 1 hit point every 5 minutes as long as it has at least 1 hit point. If the rope drops to 0 hit points, it is destroyed.",D20,D20
Ring of X-Ray Vision,Equipment (ring),Rare,5000 gp,Attunement,"Gold ring engraved with a single thick circle in which is inlaid some lapis lazuli. While wearing this ring, you can use an action to speak its command word. When you do so, you can see into and through solid matter for 1 minute. This vision has a radius of 30 feet. To you, solid objects within that radius appear transparent and don't prevent light from passing through them. The vision can penetrate 1 foot of stone, 1 inch of common metal, or up to 3 feet of wood or dirt. Thicker substances block the vision, as does a thin sheet of lead.",,
Potion of Stone Giant Strength,Potion,Rare,2500 gp,,"When you drink this potion, your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a giant of the appropriate type. ",,
Potion of Invulnerability,Potion,Rare,2750 gp,,"For 1 minute after you drink this potion, you have resistance to all damage. The potion's syrupy liquid looks like liquified iron.",,
Potion of Clairevoyance,Potion,Rare,2900 gp,,"When you drink this potion, you gain the effect of the clairvoyance spell. An eyeball bobs in this yellowish liquid but vanishes when the potion is opened.",,
Potion of Frost Giant Strength,Potion,Rare,2900 gp,,"When you drink this potion, your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. You also gain resistance to cold damage while the potion is in effect. This potion's transparent liquid has floating in it a sliver of fingernail from a giant of the appropriate type.",Torg,Torg
Potion of Fire Giant Strength,Potion,Rare,2900 gp,,"When you drink this potion, your Strength score changes to 25 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. You also gain resistance to fire damage while the potion is in effect. This potion's transparent liquid has floating in it a sliver of fingernail from a giant of the appropriate type.",,
Bow of the Stormkeeper,Weapon (long bow),Rare,5000 gp,Attunement,"Long bow made of an unknown silver-coloured metal adorned with arcane carvings. You have a bonus of +1 to attack and damage rolls made with this magic weapon. On hit, this bow causes +2d6 of thunder damage to the target.",,
Demon's Wakizashi,Weapon (shortsword),Rare,5000 gp,Attunement,"The blade of folded steel was finely smithed. The handle of the hilt shows haunting grimacing oni figures between the fabric bands covering it. You have a bonus of +1 to attack and damage rolls made with this magic weapon. On hit, this weapon causes +2d6 necrotic damage to the target.",,
Mace of Solace,Weapon (mace),Rare,5000 gp,Attunement,"Mace with a head shaped like a sun. You have a bonus of +1 to attack and damage rolls made with this magic weapon. On hit, it deals +2d6 radiant damage to the target.",,
Bracers of Giant Strength,Equipment (arm piece),Rare,6000 gp,Attunement,"Brass bracers with intricate dwarvish runes carved on them. It reads on each ""strength to build a forteress and destroy a legion"". You get +2 to your strength score, to a maximum of 20 while you were these bracers. ",,
Collar of Bodily Integrity,Equipment (necklace),Rare,5000 gp,Attunement,"Golden collar open at the front and kept secure by a thin golden chain. While wearing this collar, you get +2 to your constitution scoar, to a maximum of 20. ",,
Sash of Agility,Equipment (belt),Rare,5000 gp,Attunement,"Intricate sash of dark brown leather and forest green linen. You get a +2 to your dexterity score, to a maximum of 20 while wearing this sash. ",,
Ring of Insight,Equipment (ring),Rare,5000 gp,Attunement,"Silver ring mounted with a beautiful amethyst. You get a +2 to you Wisdom score, to a maximum of 20, while wearing it.",,
Amulet of Health,Necklace,Rare,5000 gp,Attunement,Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is 19 or higher without it.,Given by Copper,
Periapt of Proof against Poison,Necklace,Rare,5000 gp,,"This delicate silver chain has a brilliant-cut green gem pendant. While you wear it, poisons have no effect on you. You are immune to the poisoned condition and have immunity to poison damage. The gem becomes black for the rest of the day when you have been in contact with poison.",,
Necklace of Fireballs,Equipment (necklace),Rare,3500 gp,,"Necklace of leather treads to which are affixed red-orange round beads. This necklace has 1d6 + 3 beads hanging from it. You can use an action to detach a bead and throw it up to 60 feet away. When it reaches the end of its trajectory, the bead detonates as a 3rd-level fireball spell (save DC 15). You can hurl multiple beads, or even the whole necklace, as one action. When you do so, increase the level of the fireball by 1 for each bead beyond the first.",D20,
Boots of Levitation,Equipment (boots),Rare,9000 gp,Attunement,"Rather plain-looking boots. The sole appears new, compared to the darkened colour of the worn leather. While you wear these boots, you can use an action to cast the levitate spell on yourself at will.",,
Necklace of Prayer Beads,Equipment (necklace),Rare,4000 gp,"Attunement by a cleric, druid or paladin","This necklace has 108 beads, not including the biggest one, a jade with the potential to cast Plannar ally. 1d4 + 2 magic beads made from aquamarine, black pearl, or topaz. It also has many nonmagical beads made from stones such as amber, bloodstone, citrine, coral, jade, pearl, or quartz. If a magic bead is removed from the necklace, that bead loses its magic. Six types of magic beads exist. The DM decides the type of each bead on the necklace or determines it randomly. https://www.aidedd.org/dnd/om.php?vo=necklace-of-prayer-beads ",,
Breastplate of the tavern brawler,Armor (breastplate),Rare,1000 gp,Attunement,"Fashionably carved breastplate. Always subtly smells like the bottom of a beer barrel. AC 14 + Dex modifier (max 2). While wearing this armor, you have resistance to bludgeoning damage. Curse. This armor is cursed, a fact that is revealed only when an identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the remove curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have vulnerability to piercing and slashing damage.",,
Leather of the bear wrestler,Armor (leather),Rare,2000 gp,Attunement,"Leather armor ornate with bear claws on the front of the shoulders and the top of the wrists. Badass. AC 11 + Dex modifier. While wearing this armor, you have resistance to slashing damage. Curse. This armor is cursed, a fact that is revealed only when an identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the remove curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have vulnerability to piercing and bludgeoning damage.",,
Marble Malamute,Wondrous item,Rare,4000 gp,,"This marble statuette of a dog can become a malamute for up to 6 hours. The mastiff has an Intelligence of 8 and can speak Common. It also has darkvision out to a range of 60 feet and can see invisible creatures and objects within that range. Once it has been used, it can't be used again until 7 days have passed.",D20,
Clay Mammoth,Wondrous item,Rare,4000 gp,,"This clay statuette is about 4 inches high and long. It can become a mammoth for up to 24 hours. Once it has been used, it can't be used again until 7 days have passed.",,
Chime of opening,Wondrous item,Rare,3000 gp,,"This thin hollow metal tube measures about 1 foot long and weighs 1 pound. You can strike it as an action, pointing it at an object within 120 feet of you that can be opened, such as a door, lid, or lock. The chime issues a clear tone, and one lock or latch on the object opens unless the sound can't reach the object. If no locks or latches remain, the object itself opens. The chime can be used ten times. After the tenth time, it cracks and becomes useless.",,
Horn of Blasting,Wondrous item,Rare,5000 gp,,"War horn carved out of an actual slightly curved horn, likely coming from some sort of a massive bovine creature, strapped with leather and decorated of carvings of thundra animals. The dwarvish/giant rne for 'blast' is carved inside the bell. You can use an action to speak the horn's command word and then blow the horn, which emits a thunderous blast in a 30-foot cone that is audible 600 feet away. Each creature in the cone must make a DC 15 Constitution saving throw. On a failed save, a creature takes 5d6 thunder damage and is deafened for 1 minute. On a successful save, a creature takes half as much damage and isn't deafened. Creatures and objects made of glass or crystal have disadvantage on the saving throw and take 10d6 thunder damage instead of 5d6. Each use of the horn's magic has a 20 percent chance of causing the horn to explode. The explosion deals 10d6 fire damage to the blower and destroys the horn.",Found by Mhurren in Jarlmoot,
Tent of War,Wondrous Item,Rare,5000 gp,,"Over the course of 10 minutes, during which the fabric, supports, ropes, and spikes are assembled, a single exterior tent is pitched. From the outside, the tent appears as a banal small tent of old white fabric in the shape of a 5 ft wide pyramide. Any living humanoid who enters the tent enters a demiplane of space unique to them roughly 10 feet wide, 10 feet deep, and 5 feet high with a small cot, lamp, and desk with a drawer for personal amenities. The space of this demiplane adjusts relative to the size of its inhabitant slightly to be sure they can rest comfortably. Any living creature in a demiplane connected to the tent is ejected when it is disassembled or damaged. Any items inside connected demiplanes remain, but cannot be retrieved until the tent is re-assembled.",Carried by Ic. Belonged to Gnarb Knok,
Cape of the Mountebank,Equipment (cloak),Rare,5000 gp,,"This cape is obviously made more for flair than utility: it is a bit short to cover you against the elements and the purple fabric is light and shiny, embroided with golden thread. It smells faintly of brimstone. While wearing it, you can use it to cast the dimension door spell as an action. This property of the cape can't be used again until the next dawn. When you disappear, you leave behind a cloud of smoke, and you appear in a similar cloud of smoke at your destination. The smoke lightly obscures the space you left and the space you appear in, and it dissipates at the end of your next turn. A light or stronger wind disperses the smoke.",,
Ring of Poison resistance,Equipment (ring),Rare,5000 gp,Attunement,"You have resistance to poison damage while wearing this ring, which is set with an amethyst.",D20,
Iron Bands of Bilarro,Wondrous item,Rare,5000 gp,,"This rusty iron sphere measures 3 inches in diameter and weighs 1 pound. You can use an action to speak the command word and throw the sphere at a Huge or smaller creature you can see within 60 feet of you. As the sphere moves through the air, it opens into a tangle of metal bands. Make a ranged attack roll with an attack bonus equal to your Dexterity modifier plus your proficiency bonus. On a hit, the target is restrained until you take a bonus action to speak the command word again to release it. Doing so, or missing with the attack, causes the bands to contract and become a sphere once more. A creature, including the one restrained, can use an action to make a DC 20 Strength check to break the iron bands. On a success, the item is destroyed, and the restrained creature is freed. If the check fails, any further attempts made by that creature automatically fail until 24 hours have elapsed.
Once the bands are used, they can't be used again until the next dawn.",,
Convenient Haversack,Wondrous item,Rare,1500 gp,,"Brown leather backpack closed with a thread and hanging too low on your back to be practical on a treck - but, hey, it's fashionable! This backpack can hold up to 8 cubic feet or 80 pounds of material. The backpack always weighs 5 pounds, regardless of its contents. Placing an object in the haversack follows the normal rules for interacting with objects. Retrieving an item from the haversack requires you to use an action. When you reach into the haversack for a specific item, the item is always magically on top. The haversack has a few limitations. If it is overloaded, or if a sharp object pierces it or tears it, the haversack ruptures and is destroyed. If the haversack is destroyed, its contents are lost forever, although an artifact always turns up again somewhere. If the haversack is turned inside out, its contents spill forth, unharmed, and the haversack must be put right before it can be used again. If a breathing creature is placed within the haversack, the creature can survive for up to 10 minutes, after which time it begins to suffocate. Placing the haversack inside an extradimensional space created by a bag of holding, portable hole, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within 10 feet of the gate is sucked through it and deposited in a random location on the Astral Plane. The gate then closes. The gate is one-way only and can't be reopened.",D20,
Glamoured Studded Leather,Armor (studded leather),Rare,1000 gp,,"While wearing this armor, you gain a +1 bonus to AC (AC = 13 + Dex bonus). You can also use a bonus action to speak the armor's command word and cause the armor to assume the appearance of a normal set of clothing or some other kind of armor. You decide what it looks like, including color, style, and accessories, but the armor retains its normal bulk and weight. The illusory appearance lasts until you use this property again or remove the armor.",,
Mind Flayer,Drug (injection),Rare,20 gp / dose,,"A small syringe of viscous purple liquid glints on the table, the light occasionally catching small particles of crystal shards. Favored by wizards and other madly dedicated scholars, the specifics of this drug's composure are a mystery, with rumors of dragon's blood, illithid remains, and puréed oozes not being entirely out of the question. Each syringe contains 1 dose. Taking a dose of Mind Flayer takes a bonus action. When you do so, your Intelligence score increases to 24 if its not already higher, and you have advantage on all Intelligence saving throws for 8 hours. Consuming a dose of Mind Flayer within 24 hours of the end of the original dose forces the creature to make a DC 16 Intelligence saving throw. On a failure, astral projection is cast on them and they can not end it voluntarily. The save DC for Mind Flayer is 18. Mind Flayer addicts are easily recognizable by their violent mood swings from near-catatonic to hyper-active as their weakened brain tries to make sense of the greater knowledge their drugged state granted them. Every hour, you must roll 1d20. On a 1-7, you must succeed a DC 16 Intelligence saving throw at the beginning of each of your turns or fall unconscious until the beginning of your next turn. On an 8-14, you cannot talk coherently and behave as if under the effects of the confusion spell during initiative. On a 15-20, nothing happens. Mind Flayer only lasts for 1 hour, and removed the effects of addiction.",,
Gem of Seeing,Wondrous item,Rare,1500 gp,Attunement,"Gem carved as a lense and mounted as a monocle. This gem has 3 charges. As an action, you can speak the gem's command word and expend 1 charge. For the next 10 minutes, you have truesight out to 120 feet when you peer through the gem. The gem regains 1d3 expended charges daily at dawn.",,
Cloak of the bat,Equipment (cloak),Rare,12000 gp,Attunement,"Long cloak of thick black fabric that seems to absorb light. Its edges seem almost hardened and sharp. While wearing this cloak, you have advantage on Dexterity (Stealth) checks. In an area of dim light or darkness, you can grip the edges of the cloak with both hands and use it to fly at a speed of 40 feet. If you ever fail to grip the cloak's edges while flying in this way, or if you are no longer in dim light or darkness, you lose this flying speed. While wearing the cloak in an area of dim light or darkness, you can use your action to cast polymorph on yourself, transforming into a bat. While you are in the form of the bat, you retain your Intelligence, Wisdom, and Charisma scores. The cloak can't be used this way again until the next dawn.",,
Potion of superior healing,Potion,Rare,2000 gp,,8d4 + 8 Healing,,
Sunblade,Weapon (dagger),Rare,5000 gp,Attunement,"This item appears to be a dagger or knife hilt. While grasping the hilt, you can use a bonus action to cause a blade of pure radiance to spring into existence, or make the blade disappear. While the blade exists, this magic blade has the finesse property. You gain a +2 bonus to attack and damage rolls made with this weapon, which deals radiant damage instead of slashing or piecing damage. When you hit an undead with it, that target takes an extra 1d8 radiant damage. The sword's luminous blade emits bright light in a 15-foot radius and dim light for an additional 15 feet. The light is sunlight. While the blade persists, you can use an action to expand or reduce its radius of bright and dim light by 5 feet each, to a maximum of 30 feet each or a minimum of 10 feet each.",D20,D20
Berserker Axe,Weapon (axe),Rare,2000 gp,Attunement,"You gain a +1 bonus to attack and damage rolls made with this magic weapon. In addition, while you are attuned to this weapon, your hit point maximum increases by 1 for each level you have attained. Curse. This axe is cursed, and becoming attuned to it extends the curse to you. As long as you remain cursed, you are unwilling to part with the axe, keeping it within reach at all times. You also have disadvantage on attack rolls with weapons other than this one, unless no foe is within 60 feet of you that you can see or hear. Whenever a hostile creature damages you while the axe is in your possession, you must succeed on a DC 15 Wisdom saving throw or go berserk. While berserk, you must use your action each round to attack the creature nearest to you with the axe. If you can make extra attacks as part of the Attack action, you use those extra attacks, moving to attack the next nearest creature after you fell your current target. If you have multiple possible targets, you attack one at random. You are berserk until you start your turn with no creatures within 60 feet of you that you can see or hear.",,
Mace of Smiting,Weapon (mace),Rare,4000 gp,,"Heavy iron mace. You gain a +1 bonus to attack and damage rolls made with this magic weapon. The bonus increases to +3 when you use the mace to attack a construct. When you roll a 20 on an attack roll made with this weapon, the target takes an extra 7 bludgeoning damage, or 14 bludgeoning damage if it's a construct. If a construct has 25 hit points or fewer after taking this damage, it is destroyed.",,
Bracers of defense,Equipment (bracers),Rare,5000 gp,Attunement,"Once affixed, the bracers appear as five golden bracelets circling each forearm, from the wrist to the elbow. While wearing these bracers, you gain a +2 bonus to AC if you are wearing no armor and using no shield.",,
Life Stealing Sword,Weapon (shortsword),Rare,5000 gp,Attunement,"Sword made of a dark metal. When you attack a creature with this magic weapon and roll a 20 on the attack roll, that target takes an extra 10 necrotic damage, provided that the target isn't a construct or an undead. You gain temporary hit points equal to the extra damage dealt.",,
Mace of Terror,Weapon (mace),Rare,5000 gp,Attunement,"Mace made of a dark iron with the head shaped as spiked skulls. This magic weapon has 3 charges. While holding it, you can use an action and expend 1 charge to release a wave of terror. Each creature of your choice in a 30-foot radius extending from you must succeed on a DC 15 Wisdom saving throw or become frightened of you for 1 minute. While it is frightened in this way, a creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If it has nowhere it can move, the creature can use the Dodge action. At the end of each of its turns, a creature can repeat the saving throw, ending the effect on itself on a success. The mace regains 1d3 expended charges daily at dawn.",,
Giant Slayer,Weapon (great axe),Rare,500 gp,,"You gain a +1 bonus to attack and damage rolls made with this magic weapon. When you hit a giant with it, the giant takes an extra 2d6 damage of the weapon's type and must succeed on a DC 15 Strength saving throw or fall prone. For the purpose of this weapon, ""giant"" refers to any creature with the giant type, including ettins and trolls.",,
Mace of Disruption,Weapon (mace),Rare,5000 gp,Attunement,"This mace is made of a golden alloy and its end is shaped like a sun. When you hit a fiend or an undead with this magic weapon, that creature takes an extra 2d6 radiant damage. If the target has 25 hit points or fewer after taking this damage, it must succeed on a DC 15 Wisdom saving throw or be destroyed. On a successful save, the creature becomes frightened of you until the end of your next turn. While you hold this weapon, it sheds bright light in a 20-foot radius and dim light for an additional 20 feet.",,
Vicious Weapon,Weapon (any),Rare,5000 gp,,"When you roll a 20 on your attack roll with this magic weapon, your critical hit deals an extra 7 damage of the weapon's type.",,
Belt of dwarvenkind,Equipment (belt),Rare,3000 gp,Attunemement,"While wearing this belt, you gain the following benefits: • Your Constitution score increases by 2, to a maximum of 20. • You have advantage on Charisma (Persuasion) checks made to interact with dwarves. In addition, while attuned to the belt, you have a 50 percent chance each day at dawn of growing a full beard if you're capable of growing one, or a visibly thicker beard if you already have one. • You have advantage on saving throws against poison, and you have resistance against poison damage. • You have darkvision out to a range of 60 feet. • You can speak, read, and write Dwarvish.",,
Ribbon of Speed,Wondrous item,Rare,4000 gp,,"Silvery blue silk ribbon, one inch wide and 2 feet long. While affixed to a four-legged creature, they increase the creature's walking speed by 30 feet.",,
Daern's Instant Fortress,Wondrous item,Rare,4000 gp,,"You can use an action to place this 1-inch metal cube on the ground and speak its command word. The cube rapidly grows into a fortress that remains until you use an action to speak the command word that dismisses it, which works only if the fortress is empty. The fortress is a square tower, 20 feet on a side and 30 feet high, with arrow slits on all sides and a battlement atop it. Its interior is divided into two floors, with a ladder running along one wall to connect them. The ladder ends at a trapdoor leading to the roof. When activated, the tower has a small door on the side facing you. The door opens only at your command, which you can speak as a bonus action. It is immune to the knock spell and similar magic, such as that of a chime of opening. Each creature in the area where the fortress appears must make a DC 15 Dexterity saving throw, taking 10d10 bludgeoning damage on a failed save, or half as much damage on a successful one. In either case, the creature is pushed to an unoccupied space outside but next to the fortress. Objects in the area that aren't being worn or carried take this damage and are pushed automatically. The tower is made of adamantine, and its magic prevents it from being tipped over. The roof, the door, and the walls each have 100 hit points, immunity to damage from nonmagical weapons excluding siege weapons, and resistance to all other damage. Only a wish spell can repair the fortress (this use of the spell counts as replicating a spell of 8th level or lower). Each casting of wish causes the roof, the door, or one wall to regain 50 hit points.",,
Arrows +2,Amunition,Rare,2500 gp,,"You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.",,
Crossbow bolts +2,Amunition,Rare,2500 gp,,"You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.",,
Ring of Animal Influence,Equipment (ring),Rare,6000 gp,,"Wooden ring finely carved with forest animals running around it. This ring has 3 charges, and it regains 1d3 expended charges daily at dawn. While wearing the ring, you can use an action to expend 1 of its charges to cast one of the following spells: • Animal friendship (save DC 13); • Fear (save DC 13), targeting only beasts that have an Intelligence of 3 or lower; • Speak with animals.",Helmi has it,
Agony,Drug (drink or injection),Rare,2500 gp / dose,,"The distilled essence of pain. Mainly used by torturers as a social lubricant, but masochists will sometimes also seek it out. When the thick, reddish-brown liquid is ingested (via mouth), the user is hit by intense pain, making them unable to move for 2 rounds, having disadvantage on all ability checks for 1d6+1 minutes. During this time, target will likely give up any info. After the pain, user feels intense pleasure for 1d4 hours, although this is less an effect of Agony and more of them appreciating their lack of pain.",,
Bracer of Teleportation,Equipment (arm piece),Rare,5000 gp,Attunement,"Brass bracer circling the arm in a simple, yet elegant design. A citrin is encased in it. This bracer has 2 charges. While wearing it, you can use an action and expend 1 charge to cast the teleport spell from it. The helm regains 1d2 expended charges daily at dawn.",,
Stone of Controlling Earth Elementals,Wondrous item,Rare,5000 gp,,"If the stone is touching the ground, you can use an action to speak its command word and summon an earth elemental, as if you had cast the conjure elemental spell. The stone can't be used this way again until the next dawn. The stone weighs 5 pounds.",,
Staff of Withering,Weapon (staff),Rare,6600 gp,"Attunement by a cleric, druid or warlock","Staff made of a twisted dark wood branch seemingly ending in the shape of a hand. This staff has 3 charges and regains 1d3 expended charges daily at dawn. The staff can be wielded as a magic quarterstaff. On a hit, it deals damage as a normal quarterstaff, and you can expend 1 charge to deal an extra 2d10 necrotic damage to the target. In addition, the target must succeed on a DC 15 Constitution saving throw or have disadvantage for 1 hour on any ability check or saving throw that uses Strength or Constitution.",,
